Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
6.305,1,0.123115764,13,95.6436,1997,2,0,1,661.8052
20.85,0,0.039624006,10,117.2808,1999,1,0,1,1523.3504
20.75,0,0.040421193,6,122.173,1998,3,2,0,369.519
8.895,0,0.105274111,4,39.9138,1999,1,0,1,690.4346
19.6,0,0.033970195,14,55.1614,2002,3,1,1,1381.535
19.7,0,0.053212652,6,57.893,2004,2,1,1,622.523
9.8,0,0.024378706,8,114.5492,2004,2,1,1,1274.3412
12.6,0,0.009714595,5,120.0414,1985,2,0,0,487.3656
12.15,0,0.131383762,5,246.046,1999,1,0,1,1231.73
8.75,1,0.07461309,6,187.4556,2004,2,1,1,3755.112
12.6,0,0.028459761,9,149.9708,1985,1,2,3,4363.6532
8.75,1,0.074627201,6,187.8556,1997,2,0,1,1314.2892
13.3,0,0.063695084,5,151.0708,2002,3,1,1,1805.6496
12.6,1,0.045797829,13,178.5344,1985,1,2,3,2854.9504
8.31,1,0.115857223,13,179.1028,1999,1,0,1,3896.2616
16.75,1,0.024832806,14,38.7822,1987,0,2,1,667.7974
19.75,0,0.034027909,13,212.0902,2009,1,2,2,3185.853
17.1,1,0.0467696,3,141.1838,1987,0,2,1,2247.7408
10.5,1,0.116576702,0,163.121,1987,0,2,1,1794.331
6.635,1,0.0,0,121.3098,2002,3,1,1,2530.7058
12.6,0,0.278974075,14,225.372,1985,2,0,0,679.116
14.15,0,0.035913805,14,41.4138,1987,0,2,1,812.276
13.3,0,0.079806266,4,232.53,1997,2,0,1,699.09
8.89,0,0.005505481,5,102.4016,2007,3,1,1,2732.4432
12.6,1,0.064625342,10,176.937,1985,2,0,0,176.437
12.6,0,0.071636937,13,121.7098,1985,1,2,3,4097.3332
9.1,1,0.0,1,173.2054,2002,3,1,1,3151.8972
7.5,0,0.032677678,5,239.0906,1999,1,0,1,5942.265
16.85,1,0.160760054,5,192.4478,2007,3,1,1,4843.695
7.485,0,0.06911065,13,109.0228,2004,2,1,1,2542.0244
11.6,0,0.041177505,14,140.3154,2007,3,1,1,2552.6772
11.65,0,0.040081193,13,227.0694,2009,1,2,2,1141.847
13.0,0,0.035307322,9,47.5034,2007,3,1,1,680.4476
12.65,0,0.063017847,14,159.0578,2002,3,1,1,2085.9514
20.25,1,0.171938781,3,92.512,1998,3,2,0,186.424
8.6,1,0.040197932,3,190.153,2004,2,1,1,3036.048
12.6,0,0.049058014,1,62.7194,2007,3,1,1,866.8716
17.7,0,0.01161096,5,95.041,2004,2,1,1,868.869
14.15,0,0.183507295,14,82.4276,1997,2,0,1,1137.1864
19.25,0,0.102349519,4,52.7956,2007,3,1,1,928.1252
8.88,0,0.086708987,7,151.7682,1987,0,2,1,762.341
20.5,0,0.032835147,9,40.2822,2002,3,1,1,707.0796
12.6,0,0.033809913,3,180.5976,1985,1,2,3,7968.2944
13.5,0,0.07266912,9,160.292,1997,2,0,1,1438.128
12.6,0,0.144338493,8,224.4404,1985,1,2,3,6976.2524
8.89,0,0.009163216,5,101.7016,1998,3,2,0,101.2016
7.855,0,0.011307038,3,188.5188,2009,1,2,2,952.094
7.235,0,0.076855628,9,116.0492,1997,2,0,1,1969.4364
12.6,0,0.059956876,15,165.4526,1985,1,2,3,5262.4832
6.92,0,0.038532062,4,60.5852,2002,3,1,1,1314.2892
9.3,0,0.043209581,6,90.8172,2007,3,1,1,535.3032
18.5,0,0.056816465,11,132.1284,1998,3,2,0,263.6568
8.02,0,0.019866705,9,154.5972,2004,2,1,1,1402.1748
9.195,0,0.048331717,9,105.1622,2007,3,1,1,1693.7952
12.8,0,0.091221855,11,105.5938,2002,3,1,1,2143.876
16.6,0,0.027622076,9,177.6344,1999,1,0,1,2676.516
14.0,1,0.0,5,53.064,2004,2,1,1,905.488
18.6,0,0.039355947,5,246.3802,1999,1,0,1,7370.406
16.0,0,0.060836524,15,226.8404,2004,2,1,1,6301.1312
17.6,0,0.082316506,8,160.692,2004,2,1,1,1597.92
21.25,0,0.155350299,13,178.237,2004,2,1,1,529.311
7.235,0,0.076841095,9,117.5492,2004,2,1,1,1969.4364
14.6,0,0.151419185,14,50.3692,2007,3,1,1,1034.6532
13.85,1,0.026001976,5,161.521,2009,1,2,2,1794.331
13.65,1,0.073209447,5,197.6426,2009,1,2,2,2768.3964
12.6,0,0.041683481,14,31.29,1985,1,2,3,898.83
7.365,0,0.042560252,6,226.172,1997,2,0,1,3169.208
18.35,0,0.014081156,9,223.5746,2009,1,2,2,3589.9936
5.465,1,0.0,0,132.5626,2009,1,2,2,262.3252
18.6,0,0.152918384,2,99.8358,2007,3,1,1,1910.1802
13.85,0,0.030969274,14,140.9154,2007,3,1,1,1701.7848
14.0,1,0.060376776,5,154.5656,1987,0,2,1,2471.4496
14.0,1,0.04192285,13,54.764,1987,0,2,1,1331.6
12.6,0,0.077367431,6,97.0094,1985,1,2,3,1808.9786
5.905,0,0.045838211,3,222.5456,2009,1,2,2,3315.684
7.27,0,0.071077939,14,114.2518,1997,2,0,1,2618.5914
6.155,1,0.094659871,10,214.556,1997,2,0,1,2769.728
19.5,1,0.077608838,14,233.4958,2007,3,1,1,5375.0034
15.2,0,0.021327477,3,216.8824,2007,3,1,1,2838.9712
12.15,1,0.042485444,3,125.0046,2009,1,2,2,1743.0644
12.6,0,0.025578526,9,198.8084,1985,1,2,3,5555.4352
12.6,0,0.0489808,1,61.9194,2009,1,2,2,619.194
14.5,0,0.019471688,11,164.821,2004,2,1,1,2120.573
16.6,0,0.122918852,6,173.0738,2007,3,1,1,3823.0236
11.8,1,0.057373797,10,151.4366,1987,0,2,1,1360.2294
13.1,1,0.044155597,6,178.8318,1987,0,2,1,3969.4996
17.7,0,0.291865402,6,115.1834,1998,3,2,0,345.5502
17.85,0,0.0,1,196.5794,1998,3,2,0,585.2382
12.3,1,0.064750025,15,92.6804,2002,3,1,1,1010.6844
11.8,0,0.098312421,8,81.4618,1998,3,2,0,161.1236
12.6,1,0.191013663,14,42.1112,1985,2,0,0,42.6112
11.1,0,0.176573035,0,157.4604,2002,3,1,1,3010.7476
12.6,1,0.060134441,5,153.0656,1985,1,2,3,6024.1584
11.3,0,0.007294652,10,198.1426,2002,3,1,1,988.713
12.6,0,0.128478462,8,117.944,1985,2,0,0,239.688
5.75,1,0.075107656,4,112.8176,1987,0,2,1,1374.2112
12.6,1,0.049381406,0,226.8062,1985,1,2,3,4739.8302
11.35,1,0.045165796,13,100.0016,2009,1,2,2,1012.016
12.6,1,0.09415375,6,165.7526,1985,2,0,0,657.8104
14.0,0,0.028907832,8,130.431,1999,1,0,1,778.986
19.75,1,0.018059621,5,179.766,2002,3,1,1,2336.958
6.525,0,0.090436094,9,85.0882,1999,1,0,1,2233.0932
10.3,0,0.146399712,10,103.9648,1999,1,0,1,1661.8368
5.78,1,0.074264356,13,264.7568,1999,1,0,1,4745.8224
11.85,1,0.050186726,6,164.1526,2002,3,1,1,3124.5994
16.35,0,0.020631654,6,50.1324,2009,1,2,2,467.3916
12.6,0,0.01561108,9,182.5976,1985,1,2,3,5070.7328
10.5,0,0.041395445,6,37.6164,1997,2,0,1,540.6296
19.0,1,0.097313129,5,48.0718,1997,2,0,1,992.7078
14.6,0,0.059582996,11,238.8538,1999,1,0,1,6008.845
12.6,1,0.098663652,4,62.9194,1985,1,2,3,2105.2596
12.6,1,0.101338651,3,232.63,1985,1,2,3,5359.69
18.75,0,0.052146456,8,104.628,2002,3,1,1,745.696
5.26,1,0.041764487,0,161.8868,2004,2,1,1,3275.736
18.25,0,0.054344186,13,140.2154,2002,3,1,1,1701.7848
12.6,0,0.078362484,0,177.937,1985,1,2,3,6704.606
15.1,0,0.052339069,10,242.7512,1997,2,0,1,4119.9704
15.5,1,0.042464962,0,81.5934,1998,3,2,0,327.5736
13.65,0,0.065732883,5,45.7402,1999,1,0,1,780.9834
16.1,0,0.023625114,14,189.3846,2002,3,1,1,3630.6074
12.6,1,0.051643608,13,107.3622,1985,2,0,0,317.5866
12.85,0,0.165694219,5,39.7164,1998,3,2,0,231.6984
9.5,0,0.041878397,14,32.99,2004,2,1,1,133.16
13.8,0,0.058091482,4,245.1802,2004,2,1,1,5650.6446
5.78,1,0.0,13,263.7568,2007,3,1,1,2636.568
19.7,0,0.026903714,9,96.0726,2002,3,1,1,1272.3438
14.65,0,0.0,9,161.5552,1998,3,2,0,324.9104
6.67,1,0.150554711,13,130.0626,1998,3,2,0,131.1626
6.11,1,0.0,6,131.2968,1998,3,2,0,260.9936
13.65,1,0.134975628,5,260.0936,1998,3,2,0,260.9936
17.2,0,0.15616879,10,160.6578,1987,0,2,1,3690.5294
6.32,0,0.0,10,40.2822,2004,2,1,1,1139.1838
4.88,1,0.133700752,0,52.9298,1999,1,0,1,1995.4026
5.425,1,0.115119905,0,88.3514,2007,3,1,1,1416.8224
15.85,1,0.110030997,5,37.2506,1997,2,0,1,265.6542
7.5,0,0.051038045,3,121.7072,2007,3,1,1,3552.7088
12.65,0,0.062837968,14,161.5578,1987,0,2,1,2406.867
12.6,0,0.017116983,11,211.956,1985,2,0,0,213.056
20.75,0,0.024129332,6,124.173,1987,0,2,1,2956.152
12.6,0,0.049754975,4,152.134,1985,2,0,0,153.134
9.0,0,0.0,3,79.7644,2004,2,1,1,1649.8524
12.6,0,0.101561568,3,181.9292,1985,1,2,3,3101.2964
12.6,0,0.005949644,9,165.6526,1985,1,2,3,4769.1254
12.6,1,0.13956116,12,170.4764,1985,1,2,3,3435.528
14.1,0,0.126035694,6,86.4198,2002,3,1,1,1133.8574
7.55,0,0.027164679,3,152.334,2004,2,1,1,2603.278
13.0,0,0.099325278,9,45.406,1997,2,0,1,605.878
12.6,0,0.04357366,7,192.8846,1985,1,2,3,2293.0152
12.6,1,0.082741482,13,118.7782,1985,2,0,0,119.1782
12.3,1,0.064565202,15,92.9804,1987,0,2,1,1929.4884
12.6,0,0.084554569,13,109.8912,1985,1,2,3,2074.6328
12.6,0,0.058451805,8,79.9618,1985,1,2,3,241.6854
17.25,0,0.113748685,9,251.3724,2002,3,1,1,6795.1548
15.85,0,0.020603511,9,42.7112,2007,3,1,1,639.168
18.85,0,0.052044976,8,192.1846,2004,2,1,1,3248.4382
16.35,1,0.062764429,6,227.6062,2007,3,1,1,7222.5984
14.1,0,0.087977262,4,229.0668,2004,2,1,1,3225.1352
7.905,0,0.010010425,13,249.0408,2004,2,1,1,3755.112
12.0,0,0.033946163,3,179.3976,1987,0,2,1,3440.8544
12.15,1,0.058414678,6,163.4552,2004,2,1,1,974.7312
10.1,0,0.027106459,10,75.367,1999,1,0,1,535.969
17.5,0,0.027022883,5,262.491,2007,3,1,1,5259.82
12.6,0,0.058153409,4,152.034,1985,2,0,0,306.268
17.1,0,0.128937661,6,112.3886,2009,1,2,2,1779.0176
7.785,0,0.088846306,6,61.451,1999,1,0,1,759.012
11.8,1,0.09357779,13,125.9704,1987,0,2,1,1877.556
13.15,1,0.165694678,6,171.8764,2002,3,1,1,3779.0808
12.6,0,0.148392623,5,41.5796,1985,2,0,0,41.2796
8.5,0,0.098438394,3,51.1324,2007,3,1,1,259.662
8.645,0,0.143303291,8,96.341,1987,0,2,1,193.082
17.6,1,0.076276208,10,110.9202,2002,3,1,1,1687.803
9.1,0,0.175103435,0,127.5362,2007,3,1,1,4655.9394
12.8,1,0.023511371,10,225.9404,1987,0,2,1,4950.8888
7.63,0,0.06105276,14,95.4436,2004,2,1,1,1418.154
9.285,1,0.049559042,5,246.4144,2007,3,1,1,1225.072
13.6,1,0.119418124,4,231.03,2002,3,1,1,5359.69
8.895,0,0.072545601,2,176.237,2002,3,1,1,1764.37
16.35,0,0.090486828,9,195.211,1987,0,2,1,2553.343
17.6,0,0.056245075,5,43.3454,1987,0,2,1,1006.6896
7.975,0,0.014618973,0,85.225,1987,0,2,1,1081.925
15.85,0,0.043479126,15,36.7164,2007,3,1,1,308.9312
15.7,0,0.045166237,5,178.666,1987,0,2,1,2516.724
8.985,1,0.057827101,5,128.831,1997,2,0,1,1428.141
20.35,0,0.089394766,4,260.1594,1987,0,2,1,2093.2752
6.59,0,0.10550944,6,85.6908,1987,0,2,1,1929.4884
19.85,0,0.005234153,4,264.0884,2004,2,1,1,5829.7448
16.85,0,0.036390174,13,91.4488,1997,2,0,1,2082.6224
12.6,0,0.03292824,10,173.1738,1985,1,2,3,7298.4996
16.75,0,0.081252534,6,256.4988,1987,0,2,1,7452.9652
17.6,1,0.076552407,10,110.5202,2007,3,1,1,450.0808
7.905,0,0.016758569,13,250.4408,1998,3,2,0,500.6816
12.6,0,0.044248175,13,126.202,1985,1,2,3,3668.558
7.785,1,0.038288087,6,103.1964,2009,1,2,2,736.3748
7.825,0,0.186032678,9,253.0698,2004,2,1,1,6088.0752
12.6,0,0.031867464,9,101.0016,1985,1,2,3,2125.2336
20.75,0,0.021370201,14,153.0024,2007,3,1,1,2277.036
12.6,0,0.193772568,6,190.3846,1985,2,0,0,573.2538
6.26,1,0.009866049,10,151.1366,2004,2,1,1,2267.049
18.2,0,0.082551042,6,147.3734,1998,3,2,0,296.9468
13.0,0,0.099729888,9,46.306,2009,1,2,2,559.272
20.25,1,0.018801549,6,222.1772,2004,2,1,1,5559.43
8.695,0,0.119721451,9,95.5094,1999,1,0,1,1237.7222
7.27,0,0.071222087,14,113.5518,2002,3,1,1,569.259
12.6,1,0.060371962,2,174.0712,1985,1,2,3,3866.9664
12.85,0,0.033287541,6,198.4768,2002,3,1,1,1379.5376
7.075,0,0.05858462,4,142.7128,2009,1,2,2,1869.5664
12.6,1,0.11679292,0,196.211,1985,1,2,3,5499.508
8.195,0,0.031452265,0,94.3462,1999,1,0,1,925.462
7.09,0,0.00721395,0,47.9034,2004,2,1,1,583.2408
6.095,0,0.081196619,11,141.4154,1997,2,0,1,1418.154
19.35,1,0.049916364,6,80.2644,2007,3,1,1,942.7728
6.15,0,0.04627095,0,99.3384,1997,2,0,1,2364.9216
12.6,1,0.02747716,3,87.9856,1985,1,2,3,3251.7672
12.6,1,0.104704537,6,125.2678,1985,2,0,0,254.3356
17.7,0,0.012540003,9,167.0474,2004,2,1,1,5895.659
17.85,0,0.147023834,1,93.7436,2009,1,2,2,1134.5232
9.395,0,0.159657596,14,224.972,2002,3,1,1,7696.648
15.75,0,0.141398626,7,250.5382,2007,3,1,1,2775.7202
7.475,0,0.148821808,6,241.2854,2002,3,1,1,5317.0788
7.075,0,0.0,5,98.0068,2009,1,2,2,874.8612
6.445,0,0.029691762,0,92.6436,1997,2,0,1,1039.9796
19.1,0,0.096715523,6,235.0958,2004,2,1,1,3038.0454
20.25,1,0.014790559,4,193.6162,2004,2,1,1,3848.324
15.0,1,0.054378253,3,59.1904,1997,2,0,1,527.3136
6.67,1,0.123428594,13,89.1514,1997,2,0,1,2390.8878
12.6,1,0.029943463,3,60.222,1985,1,2,3,1677.816
16.7,1,0.052368061,5,112.7176,1987,0,2,1,801.6232
7.07,0,0.093861144,13,115.5834,2002,3,1,1,1267.0174
6.48,0,0.033968647,13,148.0076,2002,3,1,1,886.8456
19.0,1,0.173154079,6,228.272,1998,3,2,0,452.744
13.35,0,0.139735226,5,147.5392,2002,3,1,1,3877.6192
12.6,0,0.043351896,6,146.6418,1985,1,2,3,4414.254
12.6,0,0.042086652,7,122.4388,1985,1,2,3,5448.9072
9.695,1,0.12848269,0,223.9404,1999,1,0,1,4950.8888
15.0,0,0.049357077,14,62.6168,2007,3,1,1,958.752
11.15,1,0.008326735,4,149.9708,2007,3,1,1,1956.1204
20.85,0,0.021362955,6,103.2306,1999,1,0,1,2404.2038
9.8,0,0.151420934,11,194.3478,1998,3,2,0,387.4956
16.35,0,0.032511818,10,165.0842,1987,0,2,1,994.7052
9.6,1,0.022323658,1,101.299,2002,3,1,1,1754.383
12.6,0,0.019292355,8,129.9994,1985,1,2,3,3340.9844
13.35,0,0.048124443,1,216.7166,2002,3,1,1,3918.8988
20.7,0,0.09261307,4,76.367,1987,0,2,1,306.268
12.6,0,0.094697274,0,158.4604,1985,1,2,3,4278.4308
16.2,0,0.035984104,6,260.6278,2002,3,1,1,4425.5726
12.6,1,0.056596985,13,230.9984,1985,1,2,3,9267.936
12.6,0,0.2047,5,76.867,1985,2,0,0,229.701
12.6,1,0.020618324,2,129.3994,1985,1,2,3,2055.9904
5.5,0,0.04709821,11,101.3016,1997,2,0,1,3339.6528
15.1,1,0.087584126,6,221.7456,2002,3,1,1,6410.3224
15.7,1,0.038078899,5,122.9046,2007,3,1,1,1992.0736
7.895,1,0.095102092,2,104.4332,2007,3,1,1,2870.9296
12.6,1,0.011953902,3,164.5184,1985,1,2,3,2807.0128
17.35,1,0.062799379,0,88.183,1987,0,2,1,539.298
7.285,0,0.031125709,9,174.3054,1987,0,2,1,4377.635
20.25,0,0.026005891,9,180.9976,2002,3,1,1,2716.464
12.6,0,0.09246392,13,190.9504,1985,2,0,0,383.5008
15.85,0,0.107765165,14,59.5904,1999,1,0,1,703.0848
6.17,0,0.010647477,10,66.3826,1999,1,0,1,1937.478
19.5,0,0.015749341,9,182.2608,1999,1,0,1,3307.6944
19.2,0,0.077628053,9,197.611,1999,1,0,1,3142.576
16.7,0,0.0,3,181.2292,2009,1,2,2,2554.0088
20.85,1,0.056695731,1,104.0648,2009,1,2,2,1869.5664
14.5,1,0.063993068,1,260.4594,2002,3,1,1,5494.8474
11.395,1,0.069529262,10,233.1616,1987,0,2,1,6093.4016
7.97,0,0.034452949,14,174.0422,1997,2,0,1,2586.633
7.71,1,0.06670068,13,55.2956,1999,1,0,1,1255.6988
19.25,1,0.034699737,3,141.7496,1997,2,0,1,4093.3384
7.075,0,0.058346939,4,142.2128,1997,2,0,1,3163.8816
12.6,1,0.065203103,10,166.0816,1985,1,2,3,5033.448
11.6,1,0.078929571,5,79.9276,1997,2,0,1,1137.1864
12.6,0,0.182514881,6,98.77,1985,1,2,3,2696.49
12.1,0,0.016895293,7,178.566,2009,1,2,2,898.83
10.0,0,0.073379745,8,118.244,1997,2,0,1,2756.412
14.35,0,0.08075758,0,81.896,2002,3,1,1,878.856
10.395,0,0.112271498,13,58.222,1999,1,0,1,659.142
12.6,0,0.153741385,4,182.6292,1985,2,0,0,182.4292
8.1,0,0.127929521,6,211.4902,1987,0,2,1,3610.6334
8.05,1,0.07838564,6,256.4646,2004,2,1,1,5153.292
9.195,1,0.078502143,10,108.7596,2007,3,1,1,2588.6304
20.7,1,0.047684831,4,212.5876,2009,1,2,2,1286.3256
15.7,1,0.123159656,6,110.1544,2007,3,1,1,1230.3984
12.6,1,0.0,6,60.2194,1985,1,2,3,1733.7432
12.6,0,0.053392944,8,193.8162,1985,2,0,0,384.8324
16.5,0,0.036715907,9,180.0318,2002,3,1,1,3969.4996
9.0,0,0.065236932,13,176.437,2004,2,1,1,7763.228
6.785,1,0.041947547,10,41.2112,1987,0,2,1,809.6128
19.5,0,0.082888496,3,178.6002,2009,1,2,2,1253.7014
7.575,0,0.055390121,4,195.2768,1997,2,0,1,5715.2272
18.2,1,0.012194556,6,57.7904,1987,0,2,1,1464.76
16.75,0,0.060495243,4,169.8106,1987,0,2,1,3251.1014
7.47,1,0.0,5,214.3218,2004,2,1,1,4274.436
12.6,1,0.014753811,6,231.7958,1985,1,2,3,5375.0034
12.6,0,0.160707489,6,38.019,1985,1,2,3,1318.284
13.85,1,0.085622362,10,119.4124,2009,1,2,2,2251.7356
6.635,1,0.046350909,5,37.4506,2007,3,1,1,1176.4686
6.11,1,0.102920886,6,130.4968,1997,2,0,1,3523.4136
15.25,0,0.026604781,13,86.2198,2004,2,1,1,610.5386
15.85,0,0.0,3,96.4094,2004,2,1,1,1237.7222
15.2,0,0.031860325,13,235.1248,1998,3,2,0,474.0496
12.6,1,0.0,13,52.6666,1985,1,2,3,717.7324
20.75,0,0.021250002,14,150.5024,1997,2,0,1,2580.6408
10.195,0,0.159936948,5,143.2154,1997,2,0,1,2552.6772
7.605,0,0.129503146,6,164.021,2002,3,1,1,3914.904
18.0,1,0.142688846,6,88.5514,1997,2,0,1,796.9626
12.6,0,0.179484411,4,228.9352,1985,2,0,0,916.1408
18.35,0,0.089163056,9,191.3504,2002,3,1,1,3259.7568
6.59,0,0.105761491,6,84.8908,1999,1,0,1,1677.816
13.8,1,0.056960814,13,230.0984,1999,1,0,1,3707.1744
21.2,1,0.00704098,15,173.5738,1997,2,0,1,2954.1546
10.5,1,0.011026594,13,166.4842,2009,1,2,2,2652.5472
8.97,0,0.093203257,9,52.7956,2002,3,1,1,1037.3164
12.6,0,0.026916794,11,50.9666,1985,1,2,3,717.7324
10.6,0,0.035264298,8,86.1224,2002,3,1,1,426.112
13.65,0,0.015908424,1,231.1668,2004,2,1,1,6911.004
19.0,0,0.017719277,8,211.0244,1997,2,0,1,3811.0392
12.6,1,0.035334201,13,115.3518,1985,1,2,3,2277.036
12.6,0,0.065652494,0,48.9034,1985,2,0,0,48.6034
6.865,0,0.056919038,13,212.8218,1999,1,0,1,5770.4886
10.8,1,0.048143292,0,40.2138,1997,2,0,1,690.4346
16.7,0,0.022047313,4,110.2886,1987,0,2,1,1890.2062
12.6,0,0.090427268,7,126.2336,1985,1,2,3,3195.84
15.15,0,0.027779254,0,150.1708,1997,2,0,1,1504.708
10.5,0,0.0,9,238.3248,1998,3,2,0,711.0744
17.6,0,0.008033611,4,174.2422,2009,1,2,2,4311.055
19.35,0,0.033088472,10,175.4738,1997,2,0,1,521.3214
15.7,0,0.160663021,9,59.4562,1997,2,0,1,829.5868
18.1,0,0.178975721,4,155.5288,2007,3,1,1,1571.288
10.195,1,0.017627888,15,239.6538,2004,2,1,1,2403.538
12.6,0,0.0194158,1,41.6454,1985,2,0,0,83.8908
